User_ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
0bca6ec2,173,1,246.25,2,1,3,6,Potential Loyalists
0bd68fc8,308,1,440.36,1,1,4,6,Potential Loyalists
0be6c0bb,129,1,133.94,3,1,2,6,Potential Loyalists
0bfdb241,307,1,139.35,1,1,2,4,At Risk
0bfeb002,67,1,400.57,4,1,4,9,Loyal Customers
0c1fae8d,218,1,199.43,2,1,3,6,Potential Loyalists
0c24ecf3,249,1,103.22,1,1,1,3,Lost Customers
0c36392d,16,1,276.04,4,1,3,8,Loyal Customers
0c414eaf,47,1,330.38,4,1,4,9,Loyal Customers
0c74e0f0,160,1,387.12,3,1,4,8,Loyal Customers
0c9235c1,97,1,387.11,3,1,4,8,Loyal Customers
0ce757f0,283,1,420.81,1,1,4,6,Potential Loyalists
0d06b10b,267,1,261.41,1,1,3,5,At Risk
0d128e62,174,1,45.33,2,1,1,4,At Risk
0d1478d4,163,1,332.4,3,1,4,8,Loyal Customers
0d3b08e0,316,1,421.94,1,1,4,6,Potential Loyalists
0d575e3c,207,1,135.72,2,1,2,5,At Risk
0d6a5b96,153,1,169.52,3,1,2,6,Potential Loyalists
0d83d591,107,1,307.92,3,1,4,8,Loyal Customers
0d8c2f9b,30,1,191.0,4,1,2,7,Potential Loyalists
0d9f9cc3,153,1,107.72,3,1,2,6,Potential Loyalists
0dc89ab7,138,1,310.87,3,1,4,8,Loyal Customers
0df32f0e,192,1,204.7,2,1,3,6,Potential Loyalists
0e01ba85,19,1,240.51,4,1,3,8,Loyal Customers
0e01eaf1,117,1,280.2,3,1,3,7,Potential Loyalists
0e09bb42,114,1,79.29,3,1,1,5,At Risk
0e3e47af,301,1,130.34,1,1,2,4,At Risk
0e594526,142,1,30.26,3,1,1,5,At Risk
0e64bfe5,72,1,155.9,4,1,2,7,Potential Loyalists
0e7c9f35,74,1,341.64,4,1,4,9,Loyal Customers
0e7ece51,123,1,291.31,3,1,3,7,Potential Loyalists
0ea1f885,222,1,381.38,2,1,4,7,Potential Loyalists
0eab45b5,38,1,250.97,4,1,3,8,Loyal Customers
0eae163d,181,1,148.42,2,1,2,5,At Risk
0ec44907,12,1,113.97,4,1,2,7,Potential Loyalists
0eeae089,308,1,102.88,1,1,1,3,Lost Customers
0ef29560,318,1,108.82,1,1,2,4,At Risk
0f083239,309,1,97.31,1,1,1,3,Lost Customers
0f11e6c8,51,1,436.28,4,1,4,9,Loyal Customers
0f2949c3,320,1,68.07,1,1,1,3,Lost Customers
0f32a6f6,109,1,176.47,3,1,2,6,Potential Loyalists
0f78333d,79,1,232.25,4,1,3,8,Loyal Customers
0f8a805d,36,1,116.06,4,1,2,7,Potential Loyalists
0fd2f768,241,1,422.38,2,1,4,7,Potential Loyalists
0fe10855,36,1,26.77,4,1,1,6,Potential Loyalists
0ffb9389,58,1,55.71,4,1,1,6,Potential Loyalists
101938a5,34,1,112.28,4,1,2,7,Potential Loyalists
104bedf9,71,1,141.4,4,1,2,7,Potential Loyalists
104cbed3,217,1,472.29,2,1,4,7,Potential Loyalists
10801644,67,1,64.08,4,1,1,6,Potential Loyalists
108549a1,282,1,417.89,1,1,4,6,Potential Loyalists
1097aa00,11,1,78.97,4,1,1,6,Potential Loyalists
109dbd80,275,1,60.28,1,1,1,3,Lost Customers
10a9dfd0,245,1,367.5,1,1,4,6,Potential Loyalists
10b6a453,85,1,418.08,3,1,4,8,Loyal Customers
10c04728,292,1,146.96,1,1,2,4,At Risk
10c31378,82,1,18.67,3,1,1,5,At Risk
10dd7b6a,210,1,102.25,2,1,1,4,At Risk
10ed87b2,198,1,231.09,2,1,3,6,Potential Loyalists
10ff6293,295,1,255.53,1,1,3,5,At Risk
1100831a,104,1,272.18,3,1,3,7,Potential Loyalists
11105ad4,277,1,307.03,1,1,4,6,Potential Loyalists
1117a729,68,1,60.76,4,1,1,6,Potential Loyalists
11541d26,192,1,327.24,2,1,4,7,Potential Loyalists
116383a9,184,1,35.59,2,1,1,4,At Risk
11692893,112,1,129.31,3,1,2,6,Potential Loyalists
116fecb8,264,1,122.66,1,1,2,4,At Risk
1171aed4,109,1,418.54,3,1,4,8,Loyal Customers
117c47ed,15,1,427.95,4,1,4,9,Loyal Customers
11a0b7bc,322,1,36.16,1,1,1,3,Lost Customers
11ba2467,169,1,48.4,2,1,1,4,At Risk
11c8bf8b,220,1,26.55,2,1,1,4,At Risk
11ca9164,145,1,317.61,3,1,4,8,Loyal Customers
11d1ef2a,178,1,140.4,2,1,2,5,At Risk
121bdf3e,170,1,163.61,2,1,2,5,At Risk
122abbd7,189,1,142.07,2,1,2,5,At Risk
124627c9,231,1,184.09,2,1,2,5,At Risk
12574fb0,208,1,15.4,2,1,1,4,At Risk
125e7014,303,1,265.07,1,1,3,5,At Risk
12772337,239,1,73.06,2,1,1,4,At Risk
127d2dcd,317,1,62.51,1,1,1,3,Lost Customers
128b6828,73,1,150.66,4,1,2,7,Potential Loyalists
128c7985,260,1,105.46,1,1,2,4,At Risk
129e1ecd,183,1,148.84,2,1,2,5,At Risk
12a6e549,43,1,52.46,4,1,1,6,Potential Loyalists
12ada465,272,1,211.69,1,1,3,5,At Risk
12ae16a2,193,1,196.2,2,1,2,5,At Risk
1304dddb,174,1,225.2,2,1,3,6,Potential Loyalists
1332dbc8,317,1,106.14,1,1,2,4,At Risk
133c23df,13,1,175.15,4,1,2,7,Potential Loyalists
133c8a19,271,1,467.03,1,1,4,6,Potential Loyalists
1342567a,262,1,186.93,1,1,2,4,At Risk
134aa3c5,263,1,197.66,1,1,2,4,At Risk
13649191,199,1,284.14,2,1,3,6,Potential Loyalists
137307da,217,1,86.13,2,1,1,4,At Risk
13a9654a,205,1,77.41,2,1,1,4,At Risk
13c26270,116,1,111.78,3,1,2,6,Potential Loyalists
13d4dd27,323,1,221.24,1,1,3,5,At Risk
13ea1730,270,1,262.7,1,1,3,5,At Risk
13fcb9dd,319,1,106.5,1,1,2,4,At Risk
14008bb0,306,1,42.32,1,1,1,3,Lost Customers
14033a78,93,1,44.39,3,1,1,5,At Risk
140e089c,186,1,410.41,2,1,4,7,Potential Loyalists
144ac601,39,1,154.7,4,1,2,7,Potential Loyalists
145a48bb,184,1,121.13,2,1,2,5,At Risk
146e7249,66,1,417.51,4,1,4,9,Loyal Customers
14841db0,42,1,219.41,4,1,3,8,Loyal Customers
148a6381,168,1,456.74,2,1,4,7,Potential Loyalists
148aa401,231,1,95.38,2,1,1,4,At Risk
14974d49,3,1,280.33,4,1,3,8,Loyal Customers
14a322ad,157,1,130.03,3,1,2,6,Potential Loyalists
14a4d873,288,1,254.46,1,1,3,5,At Risk
14aa33f8,106,1,148.06,3,1,2,6,Potential Loyalists
14c9d3be,249,1,306.48,1,1,4,6,Potential Loyalists
14f20acd,112,1,165.92,3,1,2,6,Potential Loyalists
14fe692a,303,1,63.67,1,1,1,3,Lost Customers
15212d1e,193,1,144.13,2,1,2,5,At Risk
152a3010,31,1,202.46,4,1,3,8,Loyal Customers
15375b7a,246,1,23.31,1,1,1,3,Lost Customers
155fe399,246,1,210.88,1,1,3,5,At Risk
1584b5d6,257,1,16.36,1,1,1,3,Lost Customers
158b7b45,18,1,466.62,4,1,4,9,Loyal Customers
158df4de,50,1,188.09,4,1,2,7,Potential Loyalists
158e8085,138,1,112.45,3,1,2,6,Potential Loyalists
15b5e873,284,1,150.18,1,1,2,4,At Risk
15bbabf3,1,1,13.82,4,1,1,6,Potential Loyalists
15de560d,256,1,133.42,1,1,2,4,At Risk
15e54ccd,73,1,141.13,4,1,2,7,Potential Loyalists
15eb948c,306,1,466.36,1,1,4,6,Potential Loyalists
160a70d8,88,1,47.98,3,1,1,5,At Risk
161325fd,195,1,282.17,2,1,3,6,Potential Loyalists
1624e787,83,1,193.8,3,1,2,6,Potential Loyalists
16424ec7,233,1,160.09,2,1,2,5,At Risk
16589213,69,1,61.27,4,1,1,6,Potential Loyalists
1672d24e,16,1,379.89,4,1,4,9,Loyal Customers
1699a74b,89,1,292.37,3,1,3,7,Potential Loyalists
16b4c497,225,1,112.59,2,1,2,5,At Risk
16c8c193,48,1,118.16,4,1,2,7,Potential Loyalists
16cf536e,123,1,301.12,3,1,3,7,Potential Loyalists
16dc2dab,150,1,164.53,3,1,2,6,Potential Loyalists
16dc86bb,5,1,265.2,4,1,3,8,Loyal Customers
16ed50f6,9,1,177.92,4,1,2,7,Potential Loyalists
170d8114,151,1,49.86,3,1,1,5,At Risk
1711938b,318,1,229.31,1,1,3,5,At Risk
17136587,64,1,357.92,4,1,4,9,Loyal Customers
171a2e71,6,1,294.6,4,1,3,8,Loyal Customers
171c325f,152,1,177.59,3,1,2,6,Potential Loyalists
17206a14,46,1,315.53,4,1,4,9,Loyal Customers
172bd712,234,1,364.25,2,1,4,7,Potential Loyalists
172f1fe0,298,1,186.27,1,1,2,4,At Risk
1738af2a,75,1,266.57,4,1,3,8,Loyal Customers
1739fa0d,317,1,118.81,1,1,2,4,At Risk
173a7d55,224,1,470.33,2,1,4,7,Potential Loyalists
1744051f,80,1,185.48,4,1,2,7,Potential Loyalists
17542880,11,1,268.83,4,1,3,8,Loyal Customers
175607aa,54,1,8.97,4,1,1,6,Potential Loyalists
17579278,310,1,232.78,1,1,3,5,At Risk
176bbab8,68,1,198.39,4,1,2,7,Potential Loyalists
178230e0,123,1,27.76,3,1,1,5,At Risk
178fed2d,18,1,300.52,4,1,3,8,Loyal Customers
17935504,310,1,377.15,1,1,4,6,Potential Loyalists
179ae4c5,235,1,304.65,2,1,4,7,Potential Loyalists
17a03a8e,160,1,135.75,3,1,2,6,Potential Loyalists
17cca69e,58,1,63.28,4,1,1,6,Potential Loyalists
17ea7752,232,1,13.42,2,1,1,4,At Risk
17ec5173,267,1,243.7,1,1,3,5,At Risk
180900bc,23,1,204.23,4,1,3,8,Loyal Customers
18283fe9,158,1,181.55,3,1,2,6,Potential Loyalists
1828fb43,282,1,250.23,1,1,3,5,At Risk
183b54fb,43,1,153.31,4,1,2,7,Potential Loyalists
18571441,173,1,268.14,2,1,3,6,Potential Loyalists
185a8f78,31,1,146.09,4,1,2,7,Potential Loyalists
18611bb6,93,1,119.95,3,1,2,6,Potential Loyalists
186f1145,258,1,311.41,1,1,4,6,Potential Loyalists
187108d8,310,1,61.98,1,1,1,3,Lost Customers
18729857,198,1,362.05,2,1,4,7,Potential Loyalists
1885865d,234,1,187.07,2,1,2,5,At Risk
1886386b,250,1,77.07,1,1,1,3,Lost Customers
188c6595,9,1,22.6,4,1,1,6,Potential Loyalists
188cb370,221,1,221.56,2,1,3,6,Potential Loyalists
189129b3,135,1,29.74,3,1,1,5,At Risk
18a5f861,145,1,175.87,3,1,2,6,Potential Loyalists
18a7315f,309,1,386.97,1,1,4,6,Potential Loyalists
18b2a6ae,253,1,373.65,1,1,4,6,Potential Loyalists
18ce10b0,116,1,123.68,3,1,2,6,Potential Loyalists
18ceee25,76,1,309.36,4,1,4,9,Loyal Customers
18e92cc0,302,1,104.37,1,1,1,3,Lost Customers
18fa5e20,107,1,350.6,3,1,4,8,Loyal Customers
190628ce,262,1,238.29,1,1,3,5,At Risk
191c2795,51,1,229.32,4,1,3,8,Loyal Customers
19250ed7,321,1,120.25,1,1,2,4,At Risk
192edd4e,255,1,30.49,1,1,1,3,Lost Customers
192f4b21,295,1,155.77,1,1,2,4,At Risk
1943f27c,257,1,257.57,1,1,3,5,At Risk
194aa278,139,1,321.57,3,1,4,8,Loyal Customers
194fe55b,32,1,196.54,4,1,2,7,Potential Loyalists
195e0c14,60,1,166.75,4,1,2,7,Potential Loyalists
1962082e,116,1,453.66,3,1,4,8,Loyal Customers
19649d6c,118,1,124.78,3,1,2,6,Potential Loyalists
19769f0e,245,1,285.42,1,1,3,5,At Risk
19c7efc6,161,1,334.51,3,1,4,8,Loyal Customers
19d43000,313,1,39.49,1,1,1,3,Lost Customers
19dbc60e,191,1,223.51,2,1,3,6,Potential Loyalists
19dd37b0,32,1,41.53,4,1,1,6,Potential Loyalists
19eb99df,321,1,195.1,1,1,2,4,At Risk
1a25ef8b,160,1,222.04,3,1,3,7,Potential Loyalists
1a29d6ef,30,1,112.08,4,1,2,7,Potential Loyalists
1a2e9e50,269,1,185.91,1,1,2,4,At Risk
1a4639c6,274,1,208.78,1,1,3,5,At Risk
1a6c5c08,278,1,138.45,1,1,2,4,At Risk
1a6daf28,320,1,133.03,1,1,2,4,At Risk
1a7c338d,209,1,10.05,2,1,1,4,At Risk
1a80943e,141,1,228.74,3,1,3,7,Potential Loyalists
1a9a7605,163,1,145.37,3,1,2,6,Potential Loyalists
1aa72558,186,1,236.44,2,1,3,6,Potential Loyalists
1aad3236,37,1,126.88,4,1,2,7,Potential Loyalists
1aad44bb,233,1,23.92,2,1,1,4,At Risk
1ae291af,147,1,215.15,3,1,3,7,Potential Loyalists
1b011b03,64,1,125.2,4,1,2,7,Potential Loyalists
1b0c9fd0,186,1,70.54,2,1,1,4,At Risk
1b0d38af,48,1,180.12,4,1,2,7,Potential Loyalists
1b10748b,98,1,10.6,3,1,1,5,At Risk
1b3596a1,66,1,315.86,4,1,4,9,Loyal Customers
1b4424dd,253,1,26.57,1,1,1,3,Lost Customers
1b4ce378,149,1,92.53,3,1,1,5,At Risk
1b4d6975,99,1,32.27,3,1,1,5,At Risk
1b863eb3,155,1,107.44,3,1,2,6,Potential Loyalists
1bc373ee,186,1,123.74,2,1,2,5,At Risk
1bc7e890,294,1,317.6,1,1,4,6,Potential Loyalists
1bcc7d66,267,1,37.45,1,1,1,3,Lost Customers
1be4767d,121,1,88.3,3,1,1,5,At Risk
1c33e307,254,1,328.06,1,1,4,6,Potential Loyalists
1c34cc19,146,1,25.38,3,1,1,5,At Risk
1c4f3915,61,1,236.84,4,1,3,8,Loyal Customers
1c56848e,114,1,228.36,3,1,3,7,Potential Loyalists
1c587631,287,1,229.8,1,1,3,5,At Risk
1c5a1b59,255,1,249.5,1,1,3,5,At Risk
1c74138b,41,1,46.12,4,1,1,6,Potential Loyalists
1c816115,12,1,50.52,4,1,1,6,Potential Loyalists
1c87705a,103,1,120.89,3,1,2,6,Potential Loyalists
1c959928,268,1,226.65,1,1,3,5,At Risk
1c98d9cb,74,1,241.98,4,1,3,8,Loyal Customers
1cb03de1,136,1,83.6,3,1,1,5,At Risk
1cbd0192,187,1,458.39,2,1,4,7,Potential Loyalists
1cf3407d,32,1,112.43,4,1,2,7,Potential Loyalists
1cf64412,271,1,423.28,1,1,4,6,Potential Loyalists
1d08f709,306,1,353.97,1,1,4,6,Potential Loyalists
1d0d42ed,321,1,409.44,1,1,4,6,Potential Loyalists
1d10d5a7,268,1,103.23,1,1,1,3,Lost Customers
1d146f4a,120,1,332.89,3,1,4,8,Loyal Customers
1d2c993f,55,1,295.6,4,1,3,8,Loyal Customers
1d360f7f,217,1,34.87,2,1,1,4,At Risk
1d3b4cbd,178,1,323.68,2,1,4,7,Potential Loyalists
1d431cd4,42,1,126.06,4,1,2,7,Potential Loyalists
1d5adb9d,13,1,459.22,4,1,4,9,Loyal Customers
1d750630,244,1,368.7,1,1,4,6,Potential Loyalists
1d800681,285,1,79.22,1,1,1,3,Lost Customers
1d8925f0,108,1,394.59,3,1,4,8,Loyal Customers
1dac4ff2,144,1,433.94,3,1,4,8,Loyal Customers
1dc9d0b0,301,1,457.68,1,1,4,6,Potential Loyalists
1ddc65f3,320,1,376.52,1,1,4,6,Potential Loyalists
1defd3b1,107,1,389.76,3,1,4,8,Loyal Customers
1e02db52,321,1,323.99,1,1,4,6,Potential Loyalists
1e0f3878,256,1,248.46,1,1,3,5,At Risk
1e119afc,68,1,66.04,4,1,1,6,Potential Loyalists
1e2104bf,56,1,33.48,4,1,1,6,Potential Loyalists
1e362183,5,1,313.36,4,1,4,9,Loyal Customers
1e5bd791,240,1,259.12,2,1,3,6,Potential Loyalists
1e6e48c2,106,1,183.9,3,1,2,6,Potential Loyalists
1e77e045,7,1,366.93,4,1,4,9,Loyal Customers
1e8db66c,268,1,12.81,1,1,1,3,Lost Customers
1e93ade3,175,1,437.65,2,1,4,7,Potential Loyalists
1e9fc577,167,1,138.04,2,1,2,5,At Risk
1ec05b76,24,1,196.42,4,1,2,7,Potential Loyalists
1ec3ff2a,41,1,280.16,4,1,3,8,Loyal Customers
1ee3dec3,89,1,218.5,3,1,3,7,Potential Loyalists
1f28730f,219,1,117.79,2,1,2,5,At Risk
1f4fbea8,44,1,75.58,4,1,1,6,Potential Loyalists
1f5cc3ae,94,1,42.17,3,1,1,5,At Risk
1f77f62c,134,1,119.98,3,1,2,6,Potential Loyalists
1f830c14,14,1,117.91,4,1,2,7,Potential Loyalists
1f9e6a6c,42,1,201.05,4,1,3,8,Loyal Customers
1fb7f40c,223,1,188.6,2,1,2,5,At Risk
1fd91234,31,1,22.83,4,1,1,6,Potential Loyalists
204fab33,259,1,258.92,1,1,3,5,At Risk
20556324,223,1,93.41,2,1,1,4,At Risk
205a7efe,51,1,237.14,4,1,3,8,Loyal Customers
20603af4,130,1,114.6,3,1,2,6,Potential Loyalists
